review,clean_review
"After eight years in seclusion, Batman resurfaces to face Bane, a mastermind bent on destroying Gotham and has ties to Bruce Wayne's past. Christopher Nolan's conclusion to his Dark Knight trilogy should be treated as a wrap up rather than a third installment. Despite many new characters being introduced, even their conflicts and motives are derived from events that occurred in the previous two films. Such an approach could be seen as a weakness, since the conflict could just end up being sort of a rematch rather than moving the story forward; however, Nolan's approach works terrificly. Over an hour is shot in stunning IMAX, but the film is more touching than it is intense and that's its best quality. Hardy steps in as the genius mercenary Bane, who is slightly bigger, slightly stronger and slightly smarter than Batman, thus making him a challenge best suited for the grand finale. The Joker works best as Batman's arch-nemesis since they are polar opposites, with The Joker standing for everything Batman stands against. Two-Face works best as Batman's most tragic enemy because Harvey Dent is very much like Bruce Wayne the only difference is: Dent copes with his tragedy through revenge rather than seeking justice as Wayne did. Bane works best as Batman's most challenging villain because of his physical and mental superiority—forget the Bane you saw in ""BATMAN & ROBIN"". Nolan carefully chose all his villains in the series wisely and executed them perfectly. Hardy had big shoes to fill following Ledger's posthumous Oscar winning performance; while Bane is no Joker, Hardy does a satisfying job and should not be compared to Ledger's performance as they are completely different roles. It is Michael Caine, however, that delivers the most memorable and touching performance of the entire film. A wonderful conclusion to a wonderful trilogy.

**** (out of four)",eight year seclus batman resurfac face bane mastermind bent destroy gotham tie bruce wayn past christoph nolan conclus dark knight trilog treat wrap rather third instal despit mani new charact introduc even conflict motiv deriv event occur previou two film approach could seen weak sinc conflict could end sort rematch rather move stori forward howev nolan approach work terrificli hour shot stun imax film touch intens best qualiti hardi step geniu mercenari bane slightli bigger slightli stronger slightli smarter batman thu make challeng best suit grand final joker work best batman arch nemesi sinc polar opposit joker stand everyth batman stand two face work best batman tragic enemi harvey dent much like bruce wayn differ dent cope tragedi reveng rather seek justic wayn bane work best batman challeng villain physic mental superiority—forget bane saw batman robin nolan care chose villain seri wise execut perfectli hardi big shoe fill follow ledger posthum oscar win perform bane joker hardi satisfi job compar ledger perform complet differ role michael cain howev deliv memor touch perform entir film wonder conclus wonder trilog four
"The Dark Knight Rises was a perfect sequel to a masterpiece. Christopher Nolan took a different direction and focused more on Bruce Wayne/Batman. This movie is filled with lots of emotions. It has such great characters and of course the dialogs is so good. The performances are incredible. It was my most anticipated movie of the century. The more I watch it, The more epic it gets. Personally, I think The Dark Knight Trilogy is the greatest Trilogy of all time and this movie gives the greatest ending of all time in the movie history. I remember seeing it thrice and the more I watched It the more respect it earns. Thank you Christopher Nolan, You Sir Are A Master.",dark knight rise perfect sequel masterpiec christoph nolan took differ direct focus bruce wayn batman movi fill lot emot great charact cours dialog good perform incred anticip movi centuri watch epic get person think dark knight trilog greatest trilog time movi give greatest end time movi histori rememb see thrice watch respect earn thank christoph nolan sir master
"Possibly my personal favourite of the Nolan Batman films, and I do like Batman Begins and The Dark Knight very much. Is it perfect? For me, not quite, there are so many plot strand in a long running time that the film occasionally(and there is a big emphasis on that) sags in momentum and some of the strands in the ending could have done with more development. It is a brilliant film all the same, one of the highlights so far of the year. As to expect from Christopher Nolan, it is a visually audacious film, with gorgeous cinematography, a beautifully realised Gotham City and great special effects. Hans Zimmer's score is not one of his very best for me, but there is still an epic and haunting quality that is just perfect for this film. The dialogue provokes thought and makes an emotional impact, and a vast majority of the time The Dark Knight Rises is ambitious and gripping. I don't consider Christopher Nolan one of my favourites, this said he is a hugely impressive director who shows great ambition and a willingness to make his subject matters interesting. He does a really wonderful job here, as the set/action pieces including the plane hijack and Bane's assault on Gotham are enough to make the jaw drop. The performances are just terrific from all involved, Matthew Modine fares weakest but he is far from bad. Christian Bale is still a charismatic presence, Matthew Caine appropriately loyal and Gary Oldman and Morgan Freeman subtly understated. Joseph Gordon Levitt captures his character's idealism wonderfully. Tom Hardy is in beefed-up terrifying mode as Bane, a worthy successor to Heath Ledger's iconic Joker. Anne Hathaway was a curious casting choice, but as Catwoman she is spot on, here is a Catwoman who actually does much more than acting sexy(which she still is), she is very ruthless and no-nonsense here. All in all, a hugely impressive film, the best of Nolan's Batman trilogy- though I'm prepared for any flaming I'll get for this opinion- and one of the highlights so far of 2012. 9/10 Bethany Cox",possibl person favourit nolan batman film like batman begin dark knight much perfect quit mani plot strand long run time film occasion big emphasi sag momentum strand end could done develop brilliant film one highlight far year expect christoph nolan visual audaci film gorgeou cinematographi beauti realis gotham citi great special effect han zimmer score one best still epic haunt qualiti perfect film dialogu provok thought make emot impact vast major time dark knight rise ambiti grip consid christoph nolan one favourit said huge impress director show great ambit willing make subject matter interest realli wonder job set action piec includ plane hijack bane assault gotham enough make jaw drop perform terrif involv matthew modin fare weakest far bad christian bale still charismat presenc matthew cain appropri loyal gari oldman morgan freeman subtli underst joseph gordon levitt captur charact ideal wonder tom hardi beef terrifi mode bane worthi successor heath ledger icon joker ann hathaway curiou cast choic catwoman spot catwoman actual much act sexi still ruthless nonsens huge impress film best nolan batman trilog though prepar flame get opinion one highlight far bethani cox
"There's a storm coming .....

Years after being villified, Batman is encouraged once again to come Gotham's aid, as it's in the grip of a group of mercenaries run by the villainous Bane.

First of all, you don't have to be a superhero fan to enjoy this great movie, it truly does have the most broad appeal, there's something here for everyone to enjoy. If you liked the two preceding films, I figure you'll love this one, I'm a fan of all three, this is my personal favourite.

It's a long movie, but it flies by at a canter, no single frame is wasted, it moves by at a terrific pace, it has incredible action sequences, but the story is terrific.

It's really interesting to see Batman coming in from a position where he's decided and feared, he's no longer accepted as Gotham's hero and saviour.

Christian Bale is the perfect Batman, and he is matched every step of the way by Tom Hardy. Hardy is off the charts as Bane, the last time we saw the character was back in The Batman and Robin film, perhaps best forgotten, here though he's an iconic villain.

I can't speak highly enough of Bale and Hardy, but this is also, I think the best of Anne Hathaway, she is excellent here.

A decade on, and this film is still fabulous.

10/10.",storm come year villifi batman encourag come gotham aid grip group mercenari run villain bane first superhero fan enjoy great movi truli broad appeal someth everyon enjoy like two preced film figur love one fan three person favourit long movi fli canter singl frame wast move terrif pace incred action sequenc stori terrif realli interest see batman come posit decid fear longer accept gotham hero saviour christian bale perfect batman match everi step way tom hardi hardi chart bane last time saw charact back batman robin film perhap best forgotten though icon villain speak highli enough bale hardi also think best ann hathaway excel decad film still fabul
"Christopher Nolan's epic trilogy concludes in glorious fashion and gives us a thought provoking and suitably satisfying conclusion to an epic saga. It's emotional, intense and has a great villain in Tom Hardy.",christoph nolan epic trilog conclud gloriou fashion give u thought provok suitabl satisfi conclus epic saga emot intens great villain tom hardi
"Not being a huge fan of superhero movies, I didn't have much expectations for Batman Begins. However viewing the 2005 Christopher Nolan production, I was pleasantly shocked. Then after my huge expectations for, ""The Dark Knight"", Christopher Nolan blew my expectations to the dust. Will the same happen with the 3rd and last film, ""The Dark Knight Rises""? Quite simply, Yes! My big expectations were once again, blown away. What a production! This is a true cinematic experience, to behold. The movie exceeded my expectations in terms of action, and entertainment. The editing, sound, score, visuals, direction and action are all top notch.

The film contains a fine cast of talented actors. Christian Bale, of course still makes is a great Batman. Michael Cain is fantastic, as he always is. He gives such a powerful performance, he really ought to be considered for an Oscar nomination. Tom Hardy as Bane is utterly terrifying, at times, and completely ominous. Anne Hathaway as Catwoman/Selina Kyle is a scene stealer. She is completely engrossing. Everyone is so great, the dynamic scenes between the actors are so well done, so well written, and so well directed. The Dark Knight Rises is is emotionally riveting and amazing to view.

At a running time of almost 3 hours, the film never becomes dull, which is pretty impressive. The movie's action sequences are spectacularly well created and very intense. The dialogue between the character's are intelligent and highly believable. The movie's soundtrack is terrific and really exemplify's many of the movie's scenes. Extremely well editing and sound use really develop many of the movie's action scenes, so it's not just explosions and visuals like in many other movies. Nolan creates a grand, dirty, engrossing world, and his action sequences just hum.

In conclusion, this film is a gorgeous reminder that great writing and direction can enhance any movie-going experience, even superhero movies, which are usually thought of as mindless entertainment. I am wholly satisfied with Christopher Nolan's vision and thank all who worked on this film for bringing such an intricate interpretation of its very famous literary source. I cannot recommend this film anymore than I have, I just have to say everyone and anyone should see it. 10/10""",huge fan superhero movi much expect batman begin howev view christoph nolan product pleasantli shock huge expect dark knight christoph nolan blew expect dust happen rd last film dark knight rise quit simpli ye big expect blown away product true cinemat experi behold movi exceed expect term action entertain edit sound score visual direct action top notch film contain fine cast talent actor christian bale cours still make great batman michael cain fantast alway give power perform realli ought consid oscar nomin tom hardi bane utterli terrifi time complet omin ann hathaway catwoman selina kyle scene stealer complet engross everyon great dynam scene actor well done well written well direct dark knight rise emot rivet amaz view run time almost hour film never becom dull pretti impress movi action sequenc spectacularli well creat intens dialogu charact intellig highli believ movi soundtrack terrif realli exemplifi mani movi scene extrem well edit sound use realli develop mani movi action scene explos visual like mani movi nolan creat grand dirti engross world action sequenc hum conclus film gorgeou remind great write direct enhanc movi go experi even superhero movi usual thought mindless entertain wholli satisfi christoph nolan vision thank work film bring intric interpret famou literari sourc cannot recommend film anymor say everyon anyon see
"I think as a film stand point, the dark knight is a better movie that is better acted and tense the whole way through. The dark knight rises to me is a more fun and action filled movie that you can sit back a bit more. The acting is still amazing and combined with the atmosphere/visuals of the movie creates a the sense of realism that the movie has. That realism is where the intensity stems from throughout the movie, the audience believing that something like this could actually happen makes it that much scarier. Bane is also an excellent villain, in the dark knight the joker challenges Batman mentally but Bane physically challenges him which is a completely new challenge for Batman. The plot is incredible, it it starts fast and instantly brings you into the action. It then takes a step back to develop the characters further and build up the challenge Batman has to face. Once one of the many challenges was overcome by Batman in launches the viewer straight back into action for one epic final battle that lasts almost an hour......and it is GLORIOUS! Not one second was I bored, it is truly incredible how each movie in the trilogy is this good, it shouldn't be possible. I've not even mentioned the incredible soundtrack to compliment the astounding yet grounded action. I can't compliment this movie enough. If you haven't someone seen this trilogy yet....watch it, you won't be disappointed.",think film stand point dark knight better movi better act ten whole way dark knight rise fun action fill movi sit back bit act still amaz combin atmospher visual movi creat sen realism movi realism intens stem throughout movi audienc believ someth like could actual happen make much scarier bane also excel villain dark knight joker challeng batman mental bane physic challeng complet new challeng batman plot incred start fast instantli bring action take step back develop charact build challeng batman face one mani challeng overcom batman launch viewer straight back action one epic final battl last almost hour gloriou one second bore truli incred movi trilog good possibl even mention incred soundtrack compliment astound yet ground action compliment movi enough someon seen trilog yet watch disappoint
"I came out with slight disappointment after watching DKR for I had huge expectations from Nolan after an exceptional TDK.

I am huge fan of first two installment of Batman Trilogy. I liked DKR, it's a good movie, but it could have been much better.

So rather than discussing its merit, which are many, I am pointing out its shortcomings.

It's the weaker than other movies of trilogy and simple reason being it lacks strong characters. DKR is all about storytelling, just like Nolan's Inception, but not as efficient. And in doing so, it fails where Batman Begins and The Dark Knight had succeeded.

Batman Begins was all about fear, doubt, self-realization and redemption where Bruce Wayne discovers his destiny as Batman. BB had a story arc which set background for main characters - Batman / Wayne, Ra's al Ghul, Gordon (to some extent) and most importantly Gothom City and hence set stage for a fitting climax.

The Dark Knight explores the theme of chaos, morality and belief effortlessly and establishes characters of Joker, Harvey Dent/Two Face, Rachel etc. So effortlessly that people choose to ignore even some major plot holes. Heath Ledger's interpretation of Joker was so mesmerizing that it single handily carried TDK to path of greatness/ critical acclaim.

But Dark Knight Rises is all about story telling - efficient but not exceptional. Bane, Miranda Tate, John Blake, Peter Folly (Deputy Commissioner), Selina Kyle - characters are introduced but never explored/ expanded - they just start working on their part - just like cogs in the wheel. They are not so much part of the story itself but just the agents which move the story forward.

Bane's character is dull and single dimensional and do not evoke any fear or awe. He's meticulous, intelligent and strong and this is established quickly in movie but after that he slumps into a just another movie villain. Taila / Miranda character is never fully explored. Even Wayne/Batman is devoid of any emotions in this one and he feels so sure of himself that I start wondering if it's the same Batman that I saw in first two installments. Only new character which had some shades was that of Selina Kyle and Anne Hathaway did justice to it. Add to that helplessness of Alfred portrayed superbly by Caine. Other actors are good but there's not much for them to do.

There's no dilemma, choices, moral battles, hope, chaos or fear - things that make characters and plot interesting and which made Batman Begins and The Dark Knight really good movies. Even the theme of ""Occupy WallStreet"" is very weak and, at best, is closer to London riots with its looting and arson. There's even perfect order in Bane's revolution. Movie moves effortlessly from one plot to another and to climax that it become at times predictable.

But maybe Dark Knight Rises was supposed to be like that only and Nolan had too much to deal with in 2.5 hours. And maybe that's the main problem with DKR - too much is going on in the story that it seems crammed at times. And when there are too many characters and so many story arcs, it's tough to do justice to characters and story telling at the same time.

Dark Knight Rises have a good story but lacks strong characters and relies on Inception's style which incidentally differs from style of first two installments of Batman Trilogy.

And for me, soul of Nolan's Batman Series is its strong characters, their underlying emotions and a theme which is much deeper and meaningful than all fight, gadgetry and style. And this is where DKR fails.

6/10.",came slight disappoint watch dkr huge expect nolan except tdk huge fan first two instal batman trilog like dkr good movi could much better rather discus merit mani point shortcom weaker movi trilog simpl reason lack strong charact dkr storytel like nolan incept effici fail batman begin dark knight succeed batman begin fear doubt self realiz redempt bruce wayn discov destini batman bb stori arc set background main charact batman wayn ra al ghul gordon extent importantli gothom citi henc set stage fit climax dark knight explor theme chao moral belief effortlessli establish charact joker harvey dent two face rachel etc effortlessli peopl choos ignor even major plot hole heath ledger interpret joker mesmer singl handili carri tdk path great critic acclaim dark knight rise stori tell effici except bane miranda tate john blake peter folli deputi commission selina kyle charact introduc never explor expand start work part like cog wheel much part stori agent move stori forward bane charact dull singl dimension evok fear awe meticul intellig strong establish quickli movi slump anoth movi villain taila miranda charact never fulli explor even wayn batman devoid emot one feel sure start wonder batman saw first two instal new charact shade selina kyle ann hathaway justic add helpless alfr portray superbl cain actor good much dilemma choic moral battl hope chao fear thing make charact plot interest made batman begin dark knight realli good movi even theme occupi wallstreet weak best closer london riot loot arson even perfect order bane revolut movi move effortlessli one plot anoth climax becom time predict mayb dark knight rise suppos like nolan much deal hour mayb main problem dkr much go stori seem cram time mani charact mani stori arc tough justic charact stori tell time dark knight rise good stori lack strong charact reli incept style incident differ style first two instal batman trilog soul nolan batman seri strong charact underli emot theme much deeper meaning fight gadgetri style dkr fail
"Christopher Nolan has outdone himself with this one. At 3.30 in the morning, I was tired. Just getting out of it, I've never been so awake.

Perhaps what set this film apart from his other films was that it had a genuine emotional heartbeat. I felt that this was a flaw of Nolan's other films - the vision of emotion was there, but it was hollow. In this I bought it. I felt it, hero and villain alike.

Christian Bale was typically brilliant as Batman, and I felt that Bruce Wayne was more heavily embraced in this final installment. Bale added emotional depth to the character - a plot point that I think went astray in The Dark Knight - picking up from the development made in Batman Begins.

Tom Hardy as Bane was quite simply, terrifying. No longer a dunderhead ""enforcer"", but one of the criminal masterminds behind ""Gotham's Reckoning"", coupled with a physical dominance strong enough to send shivers down your spine.

Anne Hathaway as Selina Kyle defied my expectations. Hands up who was not entirely convinced that that girl from the Princess Diaries could handle an intensely physical role like Catwoman. But here I am, hugely impressed. She added immeasurably to the value of the film.

Marion Cotillard fulfilled the role of Miranda Tate admirably, though I suspect this was the most underdeveloped character of the film - though after watching, I can see why.

The unsung hero of The Dark Knight Rises is Michael Caine as Alfred. A heartfelt performance that helps drive the emotional content of the film, helping Nolan sell his most well-rounded film to date. Caine's performance in both presence and absence.

Special mention goes to Joseph Gordon Levitt, who is consistently proving himself to be a big player in the Hollywood game. His role as officer Blake felt like there could've been more, but it may just have come all a bit much. It was a great performance, and Levitt sunk his teeth into role.

If you can, go see this in IMAX. If any film was to sell the format to skeptics, The Dark Knight Rises would be IT. I'm happy Nolan stuck to his guns and shot in 2D. 3D would have been unnecessary.

I suppose at this point, I have to turn my focus on Nolan. If he ever reads this... aspiring filmmaker to filmmaker, I've never been so envious, jealous in all my life. It's a film that leaves me floundering, wondering what I could possibly do to get anywhere near this ballpark. Well done. I think an Oscar Nomination is in order.

From here, I'm not sure what to expect of the future. Does our imagination carry us forward, or do the studios? Time will tell.

10/10",christoph nolan outdon one morn tire get never awak perhap set film apart film genuin emot heartbeat felt flaw nolan film vision emot hollow bought felt hero villain alik christian bale typic brilliant batman felt bruce wayn heavili embrac final instal bale ad emot depth charact plot point think went astray dark knight pick develop made batman begin tom hardi bane quit simpli terrifi longer dunderhead enforc one crimin mastermind behind gotham reckon coupl physic domin strong enough send shiver spine ann hathaway selina kyle defi expect hand entir convinc girl princess diari could handl intens physic role like catwoman huge impress ad immeasur valu film marion cotillard fulfil role miranda tate admir though suspect underdevelop charact film though watch see unsung hero dark knight rise michael cain alfr heartfelt perform help drive emot content film help nolan sell well round film date cain perform presenc absenc special mention goe joseph gordon levitt consist prove big player hollywood game role offic blake felt like could may come bit much great perform levitt sunk teeth role go see imax film sell format skeptic dark knight rise would happi nolan stuck gun shot would unnecessari suppos point turn focu nolan ever read aspir filmmak filmmak never enviou jealou life film leav flounder wonder could possibl get anywher near ballpark well done think oscar nomin order sure expect futur imagin carri u forward studio time tell
"I had the honor of watching TDKR during a screening and was completely blown away! Christopher Nolan's third film in his Batman trilogy doesn't disappoint. The movie is incredibly well made, its huge production is quite breathtaking to view. This is a true cinematic experience, to behold. The movie exceeded my expectations in terms of action, and entertainment. The movie's score high-lites many of its incredible scenes, and at times, it takes your breath away.

The film featured excellent performances, by all the cast. Christian Bale, as always is great as Batman. Anne Hathaway was completely engrossing, she became ""Catwoman"", just like Michele Pfeiffer did, although their interpretations were very different, both were equally effective. Tom Hardy was the main villain ""Bane"" completely shattered my expectations. One of the best superhero movie villains, I've ever seen. The terror caused by him, is completely believable and quite menacing. Marlion Cotilliard, Michael Cane, Gary Oldman, and others all did well in their respective roles. Now I know most will miss Heath Ledger as the Joker.(I know I do) I hope people don't compare Tom Hardy's performance to Heath Ledger's, its completely unfair and the two characters are very different. Just read the comics.

The colossal size of the film is a spectacle to behold, but surprisingly you don't get lost with all the explosions and extravagant action scenes, like in other films,(AKA Transformers, or POTC.) If one were to gripe, and I suppose there will never be a film made that one cannot find a point at which to grip, it is painfully long running time here. I found myself more worried about the pain in my posterior than the emotional final minutes after almost 3 hours that I had spent in a cramped seat, but that's just how I am. However the ending is just fantastic, so emotional and bring the trilogy to a very satisfying end.

Sorry if I'm being all fan-boyish and kissing this movie's behind, but I really admire it. It may not be among my personal favorites but generally this seems to be the movie event of this year. As a film though, this is amazing. A true lasting legacy in superhero story telling and summer-blockbusters.",honor watch tdkr screen complet blown away christoph nolan third film batman trilog disappoint movi incred well made huge product quit breathtak view true cinemat experi behold movi exceed expect term action entertain movi score high lite mani incred scene time take breath away film featur excel perform cast christian bale alway great batman ann hathaway complet engross becam catwoman like michel pfeiffer although interpret differ equal effect tom hardi main villain bane complet shatter expect one best superhero movi villain ever seen terror caus complet believ quit menac marlion cotilliard michael cane gari oldman other well respect role know miss heath ledger joker know hope peopl compar tom hardi perform heath ledger complet unfair two charact differ read comic coloss size film spectacl behold surprisingli get lost explos extravag action scene like film aka transform potc one gripe suppos never film made one cannot find point grip pain long run time found worri pain posterior emot final minut almost hour spent cramp seat howev end fantast emot bring trilog satisfi end sorri fan boyish kiss movi behind realli admir may among person favorit gener seem movi event year film though amaz true last legaci superhero stori tell summer blockbust
