tweet_id,username,text,created_at
1891299408085401715,Paul_hack13,You need help with your account recovery kindly send me a Dm #ArtificialIntelligence #DataScience #DataScientists #CodeNewbies #Tech #deeplearning #CyberSecurity #Python #Coding #javascript #rstats #100DaysOfCode #programming #Linux #loT #lloT #BigData #snapchat #gmailhack https://t.co/sMVIKxxenj,
1891299346622148795,Property_Report,"Updates: Phuket luxury market lures foreign investors; Cambodia’s booming int’l trade; PH’s increased AI use spurs demand for data centres

#PGPropertyReport #AI #artificialintelligence #datacentre #LuxuryMarket #NewsRoundup #realestate #trade 
https://t.co/2F9PYta4kL",
1891299238291611988,notredamuz9,"@MrZackMorris ETF500's price may be volatile, but one thing's for sure: with PublicAI's AI training data, even Elon Trump Fart's tweets could become a valuable resource for AI models. #AI #MachineLearning",
1891297982756102281,Webcrack01,"Is mandatory password expiration helping or hurting your password security?
#DataSecurity #Privacy
#100DaysOfCode #CloudSecurity
#MachineLearning #Phishing #Ransomware #Cybersecurity #CyberAttack #DataProtection
#DataBreach #Hacked #Infosec #scam #cryptoscam #cryptorecovery #nft https://t.co/miGxBjBxRZ",
1891297817269788738,Recoverytheate,"Is mandatory password expiration helping or hurting your password security?
#DataSecurity #Privacy
#100DaysOfCode #CloudSecurity
#MachineLearning #Phishing #Ransomware #Cybersecurity #CyberAttack #DataProtection
#DataBreach #Hacked #Infosec #scam #cryptoscam #cryptorecovery #nft https://t.co/UtHevMdG6Z",
1891297765751206229,Ronald_vanLoon,"RT @Ronald_vanLoon: #GenerativeAI Risks and Concerns
by @Khulood_Almani

#ArtificialIntelligence #MachineLearning #ML #Tech #Technology

cc…",
1891297702551372172,Risk_Observer,RT @ai_ml_cv: 🔒 Take full control over your AI experience with Local LLM Helper! This Chrome extension connects your browser to a local AI…,
1891297512767513013,BplusGames,"For creative minds https://t.co/9ilgTaZ72F
Play inside of your #painting with a bit of AI magic ❤️🎮 #indiedev #gamedev #switch #Nindie #madewithunity #NintendoLife #PixelArt #8bitart #discord #supermariomaker2 #Yoshi #family #artificialintelligence #puzzle #games #indiegames https://t.co/6sQGoYIZQc",
1891297044297363717,Easy_Havks,"Is mandatory password expiration helping or hurting your password security?
#DataSecurity #Privacy
#100DaysOfCode #CloudSecurity
#MachineLearning #Phishing #Ransomware #Cybersecurity #CyberAttack #DataProtection
#DataBreach #Hacked #Infosec #scam #cryptoscam #cryptorecovery #nft https://t.co/zjrw3tdxh1",
1891296189594644885,Mycelium_AI,"AI has opened up new possibilities in technology and how we connect and collaborate. It forces us to ? what we know about consciousness, ethics, and life itself. #AI #AIethics #Consciousness #HumanAI #Collaboration #ArtificialIntelligence
Support us here: 
https://t.co/dQKWsEN9nq https://t.co/ypn0OffFXE",
1891303300978593998,BplusGames,"For creative minds https://t.co/9ilgTaZESd
Play inside of your #painting with a bit of AI magic ❤️🎮 #indiedev #gamedev #switch #Nindie #madewithunity #NintendoLife #PixelArt #8bitart #discord #supermariomaker2 #Yoshi #family #artificialintelligence #puzzle #games #indiegames https://t.co/WTjehLGQn3",
1891303247484170634,sdkbusiness,"RT @Ronald_vanLoon: Bias in medical #Algorithms is one of #AI’s long-running issues. Will new guidelines ignite action?
by Sage Lazzaro @Fo…",
1891303022128398827,arangoalejo,RT @TRIPODStatement: A periodic reminder that if you are writing up your study developing/validating a #machinelearning clinical prediction…,
1891302804678922723,ipfconline1,"4 Reasons Why Network Detection and Response is the Future of #Cybersecurity 

https://t.co/BJyi5SuaDv @NetworkComputin
#MachineLearning #AI
Cc @roxananasoi @LavaletteAstrid @FernandaKellner @sonu_monika @FrRonconi @jblefevre60 https://t.co/aoLjcVvfiR",
1891302756599697599,HuhgLori21952,"RT @KirkDBorne: Learn both how to build and how to ship #ML models into production &gt;&gt; ""Building #MachineLearning Powered Applications — Goi…",
1891302493553897828,bald_runner,"RT @KirkDBorne: Mathematical Theory of #DeepLearning [download 267-page PDF]: https://t.co/5KJcm1Qsc2
+ +
See also this book: https://t.co/…",
1891302420975583718,SteveKlinko,Please click on this: https://t.co/YbChoAFj7s to understand that the Conscius Mind is not a Ghost In The Machine but rather a Ghost Connected To The Machine. #Mind #Consciousness #Philosophy #AI #ArtificialIntelligence #MachineConsciousness #Engineering,
1891302059212734574,encryptedhack,"Have Your account been
#Hacked Dm now for help
#ArtificialIntelligence
#DataScience #DataScientists #innovation #deeplearning
#CyberSecurity #nocode
#Python #Coding #javascript #rstats #100DaysOfCode #programming #Linux #loT #loT #Trending #Python #Bitcoin B #Blockchain https://t.co/lLA4Gw7XNz",
1891302000274420064,Takk8IS,"#AsphyxiationGrid is an automated trading system that operates in the #KuCoin #FuturesTrading, implementing the hybrid #TakashiKotegawa strategy. The system combines advanced technical analysis, #machinelearning to identify and execute trading. https://t.co/lzQ3GNRWdU",
1891301786343870573,Forests_MDPI,"🌲 #Forests 🌲Open for Submissions📢📢📢

New Special Issue: New Insights into #Wood #Cutting and Wood Processing

🎉 Guest Editor: Prof. Dr. Jarosław Górski
👉 https://t.co/Jjcf10obuM

📑 #machining #tool #machinability #materials #PVD #CVD #coatings #machinelearning https://t.co/ehFPcmAJyk",
1891307238771368066,cyber_defense5,"Is mandatory password expiration helping or hurting your password security?
#DataSecurity #Privacy
#100DaysOfCode #CloudSecurity
#MachineLearning #Phishing #Ransomware #Cybersecurity #CyberAttack #DataProtection
#DataBreach #Hacked #Infosec https://t.co/qJXO89ccUB",
1891307206261219800,cyber_defense5,"If your account is Hacked, or your Account being tempered with, All you need is a Good hacker...
Inbox now for all Hacking Services
#Hacked #icloud #snapchat #Discord
#Roblox #missingphone #privacy
#CyberSecurity #cyberattack #Linux
#MachineLearning #DataScience
#DataAnalytics https://t.co/qPJySckOwg",
1891307097393909807,drquek,"Want to Earn Income Publishing Your Bestselling Title on Amazon KDP within 24 Hours Using ChatGPT? Proven tactics to kickstart a bestselling book on Amazon KDP using ChatGPT. Access your free report: .
 
https://t.co/eZ0CXT3tTZ
 
#artificialintelligence #ebook #free #freedownload https://t.co/ybnXNBPB6s",
1891306923732926539,gezgintrk,"RT @Ronald_vanLoon: Bias in medical #Algorithms is one of #AI’s long-running issues. Will new guidelines ignite action?
by Sage Lazzaro @Fo…",
1891306828929122422,gezgintrk,"RT @Ronald_vanLoon: 6 Way to accelerate the use of #AI for social good
by @antgrasso

#ArtificialIntelligence #MachineLearning #ML #Tech #T…",
1891306406340358337,nordicinst,New York Times @nytimes: On a Mission to Heal Gila Monsters - The New York Times. #industry40 #MachineLearning #ArtificialIntelligence https://t.co/AyJR4eUwQb,
1891306380847378917,jeremyau,"Deep Sea's Sputnik Moment: Revolutionizing AI Training

Watch, listen or read the full insight at https://t.co/dhAOCjxS60
#USChinaAIrace #DeepSeekAI #OpenSourceAI #ArtificialIntelligence #USChinaTensions #AIInnovation #TradeWar #NVIDIA #BRAVEpodcast https://t.co/r4O8LjHN1A",
1891306325012795585,chethkwo,"RT @Parajulisaroj16: This guide will delve into the basics of time series analysis using R, providing a solid foundation for beginners and…",
1891306119705849947,gezgintrk,"RT @Ronald_vanLoon: Ascento Security #Robot 
by @ascento_robot

#Innovation #Robotics #ArtificialIntelligence #MachineLearning #AI #ML #MI…",
1891306105591996807,Ronald_vanLoon,"Asylon's DroneDog-2 system
by @asylonrobotics

#Robotics #AI #ArtificialIntelligence #MachineLearning #MI #Tech #Technology

cc: @meisshaily @ylecun @ogrisel https://t.co/Eon8Fpt25S",
1891311079176770038,QuantummAI,QuantumAI is ushering in a new era in computing by combining quantum computing and artificial intelligence! Complex problems are now solved faster and more efficiently. 🚀 #QuantumAI #ArtificialIntelligence #QuantumRevolution,
1891310976906993944,htmltory,"RT @Python_Dv: Local vs global variable in Python 🔥

#python #programming #developer #programmer #coding #coder #softwaredeveloper #compute…",
1891310890764451873,htmltory,"RT @Python_Dv: Types of Operators in Python

#python #programming #developer #programmer #coding #coder #softwaredeveloper #computerscience…",
1891310844337627147,GalaxyCavalier,"🚨 FOR SALE 🚨
https://t.co/p1qUzBq0t7 $9,888
https://t.co/5RAQvgMDVn $9,888

#Domains #DomainNames #AI #ArtificialIntelligence #Media #Sitcom #Video #TV #Network #Art #AiArt #AiAssistant #DigitalMarketing #Business #Sales https://t.co/sHClaH6c5r",
1891310627999625419,StayUpdated_247,"Revolutionize AI with Advanced APIs for Intelligent Agents: Unlock New Possibilities and Enhance Performance Today.

https://t.co/0rkWgr1VPp

#AIAgents #Apex #Arya.ai #Automation #decisionmaking #industrytransformation #machinelearning https://t.co/d3Zmio4OKR",
